url_canonical,url_final,title,word_count,text_len,Short Description (<5 words),ds_link,Company,Industry,Technology,Tag,Year,text_exists,good,srank,merged_text_path
https://about.gitlab.com/blog/2024/05/09/developing-gitlab-duo-how-we-validate-and-test-ai-models-at-scale/,https://about.gitlab.com/blog/developing-gitlab-duo-how-we-validate-and-test-ai-models-at-scale/,Developing GitLab Duo: How we validate and test AI models at scale,1929,11687,Testing quality of AI-generated outputs,https://about.gitlab.com/blog/2024/05/09/developing-gitlab-duo-how-we-validate-and-test-ai-models-at-scale/,Gitlab,Tech,Generative AI & LLM,product feature,2024.0,True,True,0,merged/texts/791d7f6b9b62b26a8a6883fcbb641caa2444904e.txt
https://about.gitlab.com/blog/2024/05/20/developing-gitlab-duo-how-we-are-dogfooding-our-ai-features/,https://about.gitlab.com/blog/developing-gitlab-duo-how-we-are-dogfooding-our-ai-features/,Developing GitLab Duo: How we are dogfooding our AI features,1745,11552,Overview of LLM-powered product features,https://about.gitlab.com/blog/2024/05/20/developing-gitlab-duo-how-we-are-dogfooding-our-ai-features/,Gitlab,Tech,Generative AI & LLM,product feature,2024.0,True,True,0,merged/texts/358e4919d2246dbf9eb3a7f7dedb7a93b1718cdc.txt
https://ai.googleblog.com/2021/10/grammar-correction-as-you-type-on-pixel.html,https://research.google/blog/grammar-correction-as-you-type-on-pixel-6/,"Grammar Correction as You Type, on Pixel 6",1571,10071,Correct grammatical errors,https://ai.googleblog.com/2021/10/grammar-correction-as-you-type-on-pixel.html,Google,Tech,Generative AI & LLM,product feature,2021.0,True,True,0,merged/texts/949e88021bbacff5bb88f71ea3b012f7f2c5cf75.txt
https://ai.googleblog.com/2022/03/auto-generated-summaries-in-google-docs.html,https://research.google/blog/auto-generated-summaries-in-google-docs/,Auto-generated Summaries in Google Docs,1630,10637,Generate summaries,https://ai.googleblog.com/2022/03/auto-generated-summaries-in-google-docs.html,Google,Tech,Generative AI & LLM,product feature,2022.0,True,True,0,merged/texts/765e621b15a907973c90f4ec09bb22ddb31b3e13.txt
https://ai.googleblog.com/2022/11/conversation-summaries-in-google-chat.html,https://research.google/blog/conversation-summaries-in-google-chat/,Conversation Summaries in Google Chat,1357,9205,Summarize conversations,https://ai.googleblog.com/2022/11/conversation-summaries-in-google-chat.html,Google,Tech,Generative AI & LLM,product feature,2022.0,True,True,0,merged/texts/b9d84ff14e104b00cb743b9a20e9353c645345da.txt
https://ai.meta.com/blog/code-llama-large-language-model-coding/,https://ai.meta.com/blog/code-llama-large-language-model-coding/,"Introducing Code Llama, a state-of-the-art large language model for coding",1586,10197,Generate code with LLM,https://ai.meta.com/blog/code-llama-large-language-model-coding/,Meta,Social platforms,Generative AI & LLM,code generation / review,2023.0,True,True,2,merged/texts/623fb6762044d914c4b19435eafc40a3e5dbd45a.txt
https://ai.meta.com/blog/seamless-m4t/,https://ai.meta.com/research/publications/seamlessm4t-massively-multilingual-multimodal-machine-translation/,SeamlessM4T—Massively Multilingual & Multimodal Machine Translation | Research - AI at Meta,1513,11059,Translate and transcribe across speech and text,https://ai.meta.com/blog/seamless-m4t/,Meta,Social platforms,NLP,product feature,2023.0,True,True,2,merged/texts/c1dcbdc0545ec65f0949b7db3b16699d7827ca66.txt
https://aihub.org/2025/09/15/deploying-agentic-ai-what-worked-what-broke-and-what-we-learned/,https://aihub.org/2025/09/15/deploying-agentic-ai-what-worked-what-broke-and-what-we-learned/,"Deploying agentic AI: what worked, what broke, and what we learned - ΑΙhub",4244,26328,Monitor protocol deviations in clinical trials,https://aihub.org/2025/09/15/deploying-agentic-ai-what-worked-what-broke-and-what-we-learned/,Bayezian Limited,Tech,AI agents,ops,2025.0,True,True,0,merged/texts/6f22edb818bbacfa95a556a425a892a4fae30726.txt
https://arxiv.org/abs/2305.14406,https://arxiv.org/abs/2305.14406,[2305.14406] Deep Learning based Forecasting: a case study from the online fashion industry,302,2097,Forecast demand in fashion e-commerce,https://arxiv.org/abs/2305.14406,Zalando,E-commerce and retail,Predictive ML,demand forecasting,2023.0,True,True,2,merged/texts/f992a163a1972a67d168f36f3284e7fc8ec500eb.txt
https://arxiv.org/abs/2306.07415,https://arxiv.org/abs/2306.07415,[2306.07415] Gender-Inclusive Grammatical Error Correction through Augmentation,306,2116,Suggest gender-inclusive grammatical error corrections,https://arxiv.org/abs/2306.07415,Grammarly,Tech,NLP,content personalization,2023.0,True,True,2,merged/texts/e7ad58a37b380c67819955266393f21b4e36fa5a.txt
https://arxiv.org/abs/2311.08577,https://arxiv.org/abs/2311.08577,[2311.08577] Finding AI-Generated Faces in the Wild,368,2462,Detect AI-generated images,https://arxiv.org/abs/2311.08577,LinkedIn,Social platforms,Predictive ML,product feature,2024.0,True,True,2,merged/texts/4a7abd9b9c827b164226288a2a4822d3369f2dbc.txt
https://arxiv.org/abs/2312.14231,https://arxiv.org/abs/2312.14231,"[2312.14231] Building Your Own Product Copilot: Challenges, Opportunities, and Needs",322,2298,Pain points of building product copilots,https://arxiv.org/abs/2312.14231,Microsoft / GitHub,Tech,Generative AI & LLM,product feature,2023.0,True,True,2,merged/texts/75f613d1d1dba4419d2be05e50ec67ba0833c450.txt
https://arxiv.org/abs/2412.04637,https://arxiv.org/abs/2412.04637,[2412.04637] Semantic Retrieval at Walmart,319,2207,Better answer user tail queries,https://arxiv.org/abs/2412.04637,Walmart,E-commerce and retail,Generative AI & LLM,search,2024.0,True,True,2,merged/texts/015673be48279619db9851d71d4ff7c84282dbeb.txt
https://arxiv.org/pdf/2209.07663.pdf,https://arxiv.org/pdf/2209.07663.pdf,Monolith: Real Time Recommendation System With Collisionless Embedding Table,6551,42465,Provide personalized online content recommendations,https://arxiv.org/pdf/2209.07663.pdf,Tiktok,Social platforms,Predictive ML,recommender system,2022.0,True,True,50,merged\texts\b1a187b4d6f1bccd105f8e21bc01307d7dcb7c01.txt
https://arxiv.org/pdf/2302.01255.pdf,https://arxiv.org/pdf/2302.01255.pdf,Leveraging Real-Time User Actions to Personalize Etsy Ads,11738,78314,Show relevant ads,https://arxiv.org/pdf/2302.01255.pdf,Etsy,E-commerce and retail,Predictive ML,ad ranking / targeting,2023.0,True,True,50,merged\texts\98fb5437149a28948408f7616742c2f1cebf22aa.txt
https://arxiv.org/pdf/2404.17723,https://arxiv.org/pdf/2404.17723,Retrieval-Augmented Generation with Knowledge Graphs for Customer Service Question Answering,4098,26649,Answer technical customer support questions,https://arxiv.org/pdf/2404.17723,Linkedin,Social platforms,Predictive ML,customer support,2024.0,True,True,50,merged\texts\969a089fa26c9baeffc35bc6643630ab3af4b67f.txt
https://arxiv.org/pdf/2503.09586,https://arxiv.org/pdf/2503.09586,Revolutionizing Threat Modeling with AI: The Threat Modeling Co-Pilot,8922,58940,Threat modeling copilot for finance,https://arxiv.org/pdf/2503.09586,JPMorganChase,Fintech and banking,Predictive ML,"ops, data analytics",2025.0,True,True,50,merged\texts\8f1eafb17227577f67971e2f1bedeb47393ca6e1.txt
https://aws.amazon.com/blogs/media/5-ways-prime-video-improves-the-viewing-experience-with-generative-ai-on-aws/,https://aws.amazon.com/ru/blogs/media/5-ways-prime-video-improves-the-viewing-experience-with-generative-ai-on-aws/,5 ways Prime Video improves the viewing experience with generative AI on AWS | AWS for M&E Blog,1262,8373,Improve video viewing experience,https://aws.amazon.com/blogs/media/5-ways-prime-video-improves-the-viewing-experience-with-generative-ai-on-aws/,Amazon,Tech,Generative AI & LLM,product feature,2025.0,True,True,2,merged/texts/70e1532def93bb5b3e55d4320a5e8baeb593c653.txt
https://blog.cloudflare.com/residential-proxy-bot-detection-using-machine-learning,https://blog.cloudflare.com/residential-proxy-bot-detection-using-machine-learning/,Using machine learning to detect bot attacks that leverage residential proxies,2792,17750,Detect bot attacks,https://blog.cloudflare.com/residential-proxy-bot-detection-using-machine-learning,Cloudflare,Tech,Predictive ML,software ops,2024.0,True,True,0,merged/texts/d1e359233ac003c9c4e4bf3369c98ced2f143779.txt
https://blog.duolingo.com/buildingaiagents/,https://blog.duolingo.com/buildingaiagents/,How We Built an AI Agent to Remove Feature Flags,1031,5891,Automate software engineering tasks,https://blog.duolingo.com/buildingaiagents/,Duolingo,Tech,AI agents,software ops,2025.0,True,True,0,merged/texts/207edeb702d47058f0c2f085facac1f511de7c77.txt
https://blog.duolingo.com/large-language-model-duolingo-lessons/,https://blog.duolingo.com/large-language-model-duolingo-lessons/,How Duolingo Uses AI to Create Lessons Faster,1400,8076,Generate content for lessons,https://blog.duolingo.com/large-language-model-duolingo-lessons/,Duolingo,Tech,Generative AI & LLM,content personalization,2023.0,True,True,0,merged/texts/494b1011607391f34aa3061333dc8284dd236e9a.txt
https://blog.duolingo.com/machine-learning-ads/,https://blog.duolingo.com/machine-learning-ads/,Duolingo Blog,918,5622,Show relevant ads,https://blog.duolingo.com/machine-learning-ads/,Duolingo,Tech,Predictive ML,ad ranking / targeting,2025.0,True,True,0,merged/texts/ab18a7c7b70cf0815db6a731dd148c8c3d12261d.txt
https://blog.duolingo.com/reduced-regression-testing/,https://blog.duolingo.com/reduced-regression-testing/,Duolingo Blog,964,5832,Automate regression testing,https://blog.duolingo.com/reduced-regression-testing/,Duolingo,Tech,Generative AI & LLM,software ops,2025.0,True,True,0,merged/texts/1b206135d99e2d99cfb0da082b3e140383959d06.txt
https://blog.duolingo.com/scaling-duoradio/,https://blog.duolingo.com/scaling-duoradio/,Duolingo Blog,1199,7968,Generate content for courses,https://blog.duolingo.com/scaling-duoradio/,Duolingo,Tech,Generative AI & LLM,content personalization,2025.0,True,True,0,merged/texts/5f26ce06523192d30756b54eb5e1e16b61ba5f8c.txt
